track,artist,genre,freq_var,freq_ave,freq_max,loudness,channel_med
Dancing Queen,Abba,Rock,17600755.6,-90.0068667,29921,105.92095,59.57379
Knowing Me,Abba,Rock,9543020.9,-75.7667187,27626,102.83616,58.48031
Take a Chance,Abba,Rock,9049481.5,-98.0629244,26372,102.32488,124.59397
Mamma Mia,Abba,Rock,7557437.3,-90.4710616,28898,101.61648,48.76513
Lay All You,Abba,Rock,6282285.6,-88.9526309,27940,100.30076,74.02039
Super Trouper,Abba,Rock,4665866.7,-69.020845,25531,100.24848,81.4014
I Have A Dream,Abba,Rock,3369670.3,-71.6828788,14699,104.59686,305.18689
The Winner,Abba,Rock,1135862,-67.8190467,8928,104.34921,277.66056
Money,Abba,Rock,6146942.6,-76.28075,22962,102.24066,165.15799
SOS,Abba,Rock,3482881.8,-74.1300038,15517,104.36243,146.737
V1,Vivaldi,Classical,3677296.2,66.653097,24229,99.25243,329.53792
V2,Vivaldi,Classical,771491.8,21.6560941,6936,104.36737,843.8324
V3,Vivaldi,Classical,5227573.2,88.6465556,17721,104.61255,165.76781
V4,Vivaldi,Classical,334719.1,13.8318847,4123,104.35005,293.99972
V5,Vivaldi,Classical,836904.9,34.5677377,17306,88.82821,198.38305
V6,Vivaldi,Classical,13936436.7,216.2317586,30355,104.82354,198.46716
V7,Vivaldi,Classical,3636324.3,9.8366363,21450,100.52727,877.77243
V8,Vivaldi,Classical,295397.4,2.8143227,2985,108.28717,58.41722
V9,Vivaldi,Classical,4335879,10.9015767,22271,101.32881,176.53441
V10,Vivaldi,Classical,472630,3.8890862,8194,98.83731,526.04942
Love Me Do,Beatles,Rock,28806811.2,-5.7452189,24159,109.95808,126.50757
I Want to Hold Your Hand,Beatles,Rock,61257693.6,-6.0340682,28502,111.81813,294.67263
Cant Buy Me Love,Beatles,Rock,76729438,-5.9583971,30102,112.71792,100.20089
I Feel Fine,Beatles,Rock,52497242.7,-5.7314591,29911,110.66333,110.39972
Ticket to Ride,Beatles,Rock,68104547,-6.1449114,30415,111.59957,107.30853
Help,Beatles,Rock,52569372.5,-5.7166301,32318,110.34618,137.10594
Yesterday,Beatles,Rock,23080907.6,-6.0298337,28169,107.30541,173.50631
Yellow Submarine,Beatles,Rock,39908667.5,-6.2616915,29061,109.47442,91.49508
Eleanor Rigby,Beatles,Rock,18819753.2,-6.1265193,21680,108.65894,164.92667
B1,Beethoven,Classical,8368952.9,-0.953833,26645,101.74095,354.12025
B2,Beethoven,Classical,8051764.6,-0.3316964,24194,101.20132,397.18666
B3,Beethoven,Classical,23493873.6,-0.9411538,32766,106.1822,529.26679
B4,Beethoven,Classical,1640232.8,1.3899979,20877,94.59029,445.00551
B5,Beethoven,Classical,343973.1,-2.4748955,9225,93.38874,331.68283
B6,Beethoven,Classical,3644784.2,-1.0426907,24633,97.86394,181.01349
B7,Beethoven,Classical,15030950.3,-1.4394652,26066,106.39731,249.0828
The Memory of Trees,Enya,New wave,1135493.1,-10.6183398,9994,102.16132,155.0643
Anywhere Is,Enya,New wave,12230252.2,-17.83727,24968,105.75748,79.31957
Pax Deorum,Enya,New wave,1723627.9,-6.8327065,13227,101.86845,49.01748
